"","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
"29","Adult","Yes","Travel_Rarely","Low (< 400)","Sales","Very Far","Moderate","Life Sciences","Moderate","Male","High (70 - 89)","Moderate","Associate","Sales Executive","High","Single","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","Yes","Very High","Fair","High","Low Stock Level","High (10 > 19)","minimal Training","Good","Experts","Senior","Pending Promotion","Experienced"
"30","Adult","No","Travel_Rarely","Very High ( > 1200","Research & Development","Far","Moderate","Technical Degree","Moderate","Female","High (70 - 89)","High","Juniors","Research Scientist","Moderate","Married","Low (< 4000)","High ( > 20000)","Low","No","Slightly High","Fair","High","Low Stock Level","Just Started ( < 5)","Intensive Training","Moderate","Junior","Junior","Just Promoted","Newly Appointed"
"31","Adult","No","Travel_Rarely","High (800 - 1199)","Research & Development","Close-by","High","Other","Moderate","Male","Fairly High ( > 90","Low","Juniors","Research Scientist","Low","Single","Low (< 4000)","Low (< 10000)","Moderate","Yes","Normal","Fair","Low","Low Stock Level","Moderate (5 - 9)","minimal Training","Good","Junior","Junior","Just Promoted","Comfomrtable"
"32","Old","No","Travel_Rarely","Low (< 400)","Human Resources","Very Far","High","Human Resources","Moderate","Male","High (70 - 89)","High","Senior","Manager","Low","Married","High ( > 9000)","High ( > 20000)","Moderate","Yes","Very High","Fair","Low","Moderate Stock Level","Very High ( > 20)","minimal Training","Good","Experts","Experts","Recently Promoted","Comfomrtable"
"33","Adult","No","Travel_Rarely","Very High ( > 1200","Research & Development","Far","Moderate","Medical","Low","Female","High (70 - 89)","Moderate","Juniors","Research Scientist","Low","Married","Low (< 4000)","Low (< 10000)","Low","No","Normal","Fair","Low","Moderate Stock Level","Moderate (5 - 9)","minimal Training","Moderate","Senior","Associate","Pending Promotion","Experienced"
"34","Young","No","Travel_Rarely","Very High ( > 1200","Human Resources","Very Far","Low","Life Sciences","Moderate","Female","Moderate (50 - 69)","Moderate","Juniors","Human Resources","Moderate","Married","Low (< 4000)","Low (< 10000)","Low","No","Very High","High","High","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Senior","Pending Promotion","Experienced"
"35","Adult","No","Travel_Rarely","High (800 - 1199)","Sales","Far","Low","Medical","Moderate","Female","High (70 - 89)","Moderate","Associate","Sales Executive","High","Divorced","Moderate (4000 - 8999)","High ( > 20000)","Moderate","Yes","Normal","Fair","High","Moderate Stock Level","Moderate (5 - 9)","minimal Training","Good","Senior","Junior","Recently Promoted","Comfomrtable"
"36","Middle Aged","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Close-by","Low","Life Sciences","High","Male","High (70 - 89)","Moderate","Associate","Manufacturing Director","High","Divorced","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Moderate","No","Slightly High","Fair","Moderate","Moderate Stock Level","High (10 > 19)","Intensive Training","Moderate","Senior","Experts","Pending Promotion","Experienced"
"37","Old","No","Travel_Rarely","Low (< 400)","Human Resources","Far","High","Life Sciences","High","Male","Fairly High ( > 90","Moderate","Senior","Manager","Low","Single","High ( > 9000)","Low (< 10000)","High","No","Slightly High","Fair","Low","Low Stock Level","Very High ( > 20)","Intensive Training","Good","Senior","Associate","Pending Promotion","Experienced"
"38","Adult","No","Travel_Rarely","Low (< 400)","Research & Development","Close-by","Moderate","Life Sciences","Moderate","Female","Low (< 50)","Low","Associate","Manufacturing Director","High","Single","Moderate (4000 - 8999)","High ( > 20000)","Moderate","No","Very High","High","Moderate","Low Stock Level","High (10 > 19)","minimal Training","Good","Senior","Associate","Just Promoted","Comfomrtable"
"39","Adult","Yes","Travel_Frequently","High (800 - 1199)","Sales","Far","High","Other","High","Male","Low (< 50)","Moderate","Associate","Sales Executive","High","Single","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Moderate","Yes","Very High","High","Low","Low Stock Level","High (10 > 19)","minimal Training","Good","Experts","Experts","Pending Promotion","Experienced"
"40","Adult","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Very Far","High","Life Sciences","Low","Female","Moderate (50 - 69)","Low","Senior","Manufacturing Director","Low","Married","High ( > 9000)","Low (< 10000)","Low","No","Very High","High","Moderate","Moderate Stock Level","Very High ( > 20)","Intensive Training","Good","Experts","Senior","Just Promoted","Experienced"
"41","Middle Aged","No","Travel_Rarely","Very High ( > 1200","Research & Development","Far","High","Life Sciences","High","Male","Moderate (50 - 69)","Low","Senior","Research Director","Moderate","Divorced","High ( > 9000)","Low (< 10000)","Low","Yes","Slightly High","Fair","Moderate","Moderate Stock Level","Very High ( > 20)","Intensive Training","Good","Experts","Experts","Just Promoted","Experienced"
"42","Adult","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Far","High","Life Sciences","High","Male","Moderate (50 - 69)","Moderate","Associate","Healthcare Representative","Moderate","Single","Moderate (4000 - 8999)","High ( > 20000)","Moderate","Yes","Slightly High","Fair","Low","Low Stock Level","High (10 > 19)","Intensive Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"43","Adult","No","Travel_Rarely","High (800 - 1199)","Research & Development","Far","Moderate","Life Sciences","Low","Male","Moderate (50 - 69)","Low","Senior","Research Director","Low","Divorced","High ( > 9000)","Low (< 10000)","Low","No","Normal","Fair","Moderate","Moderate Stock Level","Very High ( > 20)","Intensive Training","Good","Experts","Experts","Pending Promotion","Experienced"
"44","Adult","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Very Far","Low","Other","Low","Male","Moderate (50 - 69)","Low","Associate","Laboratory Technician","High","Single","Low (< 4000)","Moderate (10000 - 19999)","Moderate","No","Slightly High","Fair","High","Low Stock Level","Moderate (5 - 9)","Intensive Training","Good","Junior","Junior","Just Promoted","Comfomrtable"
"45","Adult","No","Travel_Rarely","High (800 - 1199)","Research & Development","Far","Low","Life Sciences","High","Female","High (70 - 89)","High","Associate","Research Scientist","Low","Single","Moderate (4000 - 8999)","High ( > 20000)","Moderate","Yes","Slightly High","Fair","Moderate","Low Stock Level","High (10 > 19)","minimal Training","Good","Junior","Junior","Just Promoted","Comfomrtable"
"46","Young","Yes","Travel_Frequently","Moderate (400 - 799)","Research & Development","Close-by","Low","Technical Degree","Moderate","Male","High (70 - 89)","Moderate","Juniors","Research Scientist","Low","Single","Low (< 4000)","Low (< 10000)","Low","No","Very High","High","Moderate","Low Stock Level","Moderate (5 - 9)","minimal Training","Good","Senior","Associate","Just Promoted","Comfomrtable"
"47","Adult","No","Travel_Rarely","Low (< 400)","Sales","Far","Moderate","Marketing","Low","Male","Fairly High ( > 90","Low","Juniors","Sales Representative","Low","Married","Low (< 4000)","Moderate (10000 - 19999)","Low","No","Very High","Fair","High","Moderate Stock Level","Just Started ( < 5)","Intensive Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"48","Middle Aged","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Close-by","Moderate","Technical Degree","Low","Male","High (70 - 89)","Moderate","Juniors","Research Scientist","High","Married","Low (< 4000)","Moderate (10000 - 19999)","High","No","Normal","Fair","Moderate","Moderate Stock Level","High (10 > 19)","minimal Training","Moderate","Senior","Senior","Recently Promoted","Comfomrtable"
"49","Adult","No","Travel_Rarely","Very High ( > 1200","Sales","Close-by","Moderate","Life Sciences","Moderate","Male","Moderate (50 - 69)","Moderate","Associate","Sales Executive","High","Married","High ( > 9000)","High ( > 20000)","Moderate","Yes","Slightly High","Fair","High","Higher Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Associate","Recently Promoted","Newly Appointed"
"50","Young","Yes","Travel_Rarely","Very High ( > 1200","Research & Development","Very Far","Moderate","Medical","Low","Male","Low (< 50)","Moderate","Juniors","Laboratory Technician","Moderate","Divorced","Low (< 4000)","Moderate (10000 - 19999)","Low","No","Very High","High","Moderate","Moderate Stock Level","Just Started ( < 5)","minimal Training","Moderate","Junior","Junior","Just Promoted","Newly Appointed"
"51","Adult","No","Travel_Frequently","Moderate (400 - 799)","Research & Development","Far","High","Life Sciences","Moderate","Female","Fairly High ( > 90","Low","Juniors","Research Scientist","High","Single","Low (< 4000)","Low (< 10000)","Low","No","Slightly High","Fair","Moderate","Low Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Junior","Recently Promoted","Comfomrtable"
"52","Adult","No","Travel_Frequently","Moderate (400 - 799)","Research & Development","Far","High","Technical Degree","High","Male","Fairly High ( > 90","Low","Associate","Healthcare Representative","Moderate","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","Low","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Moderate","Senior","Junior","Pending Promotion","Experienced"
"53","Adult","No","Travel_Rarely","Low (< 400)","Sales","Far","Low","Life Sciences","High","Female","High (70 - 89)","Moderate","Associate","Sales Executive","Low","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","Moderate","Moderate Stock Level","Moderate (5 - 9)","minimal Training","Good","Senior","Associate","Recently Promoted","Comfomrtable"
"54","Young","No","Travel_Rarely","Moderate (400 - 799)","Sales","Far","Low","Medical","Low","Male","Low (< 50)","Moderate","Juniors","Sales Representative","Moderate","Married","Low (< 4000)","High ( > 20000)","Low","No","Normal","Fair","Moderate","Low Stock Level","Moderate (5 - 9)","minimal Training","Good","Senior","Associate","Just Promoted","Experienced"
"55","Middle Aged","No","Travel_Frequently","Low (< 400)","Research & Development","Very Far","Low","Medical","High","Female","Moderate (50 - 69)","High","Senior","Manufacturing Director","Moderate","Married","High ( > 9000)","Low (< 10000)","Moderate","Yes","Normal","Fair","Low","Moderate Stock Level","Very High ( > 20)","Intensive Training","Moderate","Senior","Associate","Just Promoted","Comfomrtable"
"56","Adult","No","Travel_Rarely","High (800 - 1199)","Research & Development","Far","Moderate","Other","Moderate","Male","Moderate (50 - 69)","Moderate","Associate","Manufacturing Director","Moderate","Single","High ( > 9000)","Moderate (10000 - 19999)","Moderate","No","Very High","High","Low","Low Stock Level","High (10 > 19)","Intensive Training","Good","Senior","Senior","Recently Promoted","Experienced"
"57","Adult","No","Travel_Rarely","Moderate (400 - 799)","Sales","Far","High","Medical","Low","Male","High (70 - 89)","Moderate","Associate","Sales Executive","Low","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","High","Moderate Stock Level","Moderate (5 - 9)","minimal Training","Moderate","Senior","Associate","Just Promoted","Comfomrtable"
"58","Adult","No","Travel_Rarely","Very High ( > 1200","Human Resources","Far","Low","Other","Moderate","Male","High (70 - 89)","Moderate","Associate","Human Resources","Low","Divorced","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Moderate","No","Slightly High","Fair","Moderate","Low Stock Level","High (10 > 19)","Intensive Training","Moderate","Experts","Junior","Pending Promotion","Experienced"
"59","Adult","No","Travel_Rarely","Moderate (400 - 799)","Sales","Far","Low","Marketing","High","Male","Moderate (50 - 69)","Moderate","Juniors","Sales Representative","Low","Single","Low (< 4000)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","Low","Low Stock Level","Just Started ( < 5)","Intensive Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"60","Middle Aged","No","Travel_Rarely","High (800 - 1199)","Research & Development","Close-by","Low","Life Sciences","High","Male","High (70 - 89)","Moderate","Senior","Manager","High","Married","High ( > 9000)","Moderate (10000 - 19999)","Moderate","No","Slightly High","Fair","Low","Moderate Stock Level","Very High ( > 20)","minimal Training","Moderate","Senior","Experts","Pending Promotion","Experienced"
"61","Old","No","Travel_Rarely","Low (< 400)","Research & Development","Very Far","Low","Life Sciences","Moderate","Male","High (70 - 89)","High","Associate","Healthcare Representative","High","Divorced","High ( > 9000)","High ( > 20000)","Moderate","Yes","Slightly High","Fair","Low","Moderate Stock Level","High (10 > 19)","minimal Training","Moderate","Senior","Associate","Recently Promoted","Comfomrtable"
"62","Adult","Yes","Travel_Frequently","Low (< 400)","Research & Development","Very Far","High","Life Sciences","High","Female","Fairly High ( > 90","Moderate","Juniors","Research Scientist","Low","Divorced","Low (< 4000)","Moderate (10000 - 19999)","Low","Yes","Very High","Fair","Low","Moderate Stock Level","High (10 > 19)","Intensive Training","Moderate","Experts","Junior","Pending Promotion","Experienced"
"63","Adult","No","Travel_Rarely","Moderate (400 - 799)","Sales","Far","Moderate","Medical","Moderate","Male","Moderate (50 - 69)","High","Associate","Sales Executive","High","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","Moderate","Higher Stock Level","High (10 > 19)","Intensive Training","Good","Experts","Senior","Just Promoted","Experienced"
"64","Young","No","Non-Travel","Moderate (400 - 799)","Research & Development","Far","Low","Other","Low","Female","Fairly High ( > 90","High","Associate","Manufacturing Director","Moderate","Divorced","Moderate (4000 - 8999)","Low (< 10000)","Low","No","Very High","Fair","High","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Moderate","Senior","Junior","Recently Promoted","Comfomrtable"
"65","Adult","No","Travel_Frequently","Moderate (400 - 799)","Sales","Close-by","High","Life Sciences","High","Male","Low (< 50)","Low","Associate","Sales Executive","Low","Married","High ( > 9000)","High ( > 20000)","High","Yes","Very High","High","Moderate","Moderate Stock Level","Very High ( > 20)","minimal Training","Good","Experts","Experts","Recently Promoted","Experienced"
"66","Adult","No","Travel_Frequently","High (800 - 1199)","Research & Development","Close-by","Low","Medical","Low","Male","High (70 - 89)","Moderate","Associate","Manufacturing Director","Moderate","Single","High ( > 9000)","Moderate (10000 - 19999)","High","Yes","Very High","Fair","Low","Low Stock Level","High (10 > 19)","minimal Training","Moderate","Junior","Junior","Recently Promoted","Comfomrtable"
"67","Adult","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Close-by","High","Other","Low","Female","Low (< 50)","High","Juniors","Research Scientist","High","Married","Low (< 4000)","Moderate (10000 - 19999)","Moderate","No","Slightly High","Fair","High","Higher Stock Level","Moderate (5 - 9)","Intensive Training","Good","Junior","Junior","Just Promoted","Comfomrtable"
"68","Middle Aged","No","Travel_Rarely","High (800 - 1199)","Sales","Close-by","High","Life Sciences","Moderate","Female","Low (< 50)","Low","Associate","Sales Executive","Moderate","Married","High ( > 9000)","Low (< 10000)","High","No","Normal","Fair","Low","Moderate Stock Level","High (10 > 19)","Intensive Training","Good","Senior","Associate","Pending Promotion","Newly Appointed"
"69","Young","Yes","Travel_Rarely","High (800 - 1199)","Research & Development","Far","Low","Life Sciences","High","Female","Fairly High ( > 90","Moderate","Juniors","Laboratory Technician","Low","Married","Low (< 4000)","Low (< 10000)","Low","No","Slightly High","Fair","Low","Moderate Stock Level","Just Started ( < 5)","Intensive Training","Moderate","Junior","Junior","Just Promoted","Newly Appointed"
"70","Young","No","Travel_Rarely","Very High ( > 1200","Sales","Close-by","Moderate","Medical","Low","Male","High (70 - 89)","Low","Associate","Sales Executive","Low","Married","Moderate (4000 - 8999)","Low (< 10000)","Moderate","No","Very High","Fair","Low","Higher Stock Level","High (10 > 19)","minimal Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"71","Adult","No","Travel_Frequently","Moderate (400 - 799)","Research & Development","Far","Moderate","Life Sciences","High","Male","Moderate (50 - 69)","High","Juniors","Research Scientist","Moderate","Divorced","Low (< 4000)","Moderate (10000 - 19999)","Low","No","Normal","Fair","High","Higher Stock Level","Just Started ( < 5)","minimal Training","Good","Senior","Junior","Just Promoted","Comfomrtable"
"72","Adult","No","Non-Travel","Low (< 400)","Sales","Far","High","Medical","Low","Male","Moderate (50 - 69)","Moderate","Associate","Sales Executive","Low","Divorced","Moderate (4000 - 8999)","High ( > 20000)","Low","No","Slightly High","Fair","High","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Senior","Pending Promotion","Experienced"
"73","Adult","No","Travel_Rarely","Low (< 400)","Sales","Close-by","Moderate","Other","High","Male","Moderate (50 - 69)","Moderate","Associate","Sales Executive","High","Single","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Very High","High","Moderate","Low Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Senior","Recently Promoted","Comfomrtable"
"74","Adult","No","Travel_Frequently","Low (< 400)","Sales","Close-by","High","Marketing","Low","Male","Low (< 50)","Moderate","Juniors","Sales Representative","High","Divorced","Low (< 4000)","Low (< 10000)","Moderate","No","Slightly High","Fair","Moderate","Moderate Stock Level","High (10 > 19)","minimal Training","Good","Senior","Experts","Pending Promotion","Experienced"
"75","Adult","No","Non-Travel","Moderate (400 - 799)","Sales","Very Far","Low","Marketing","Moderate","Male","Fairly High ( > 90","Moderate","Associate","Sales Executive","Low","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","Low","Moderate Stock Level","Moderate (5 - 9)","minimal Training","Good","Senior","Senior","Just Promoted","Experienced"
